exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Lever 45° Reverse Calf Press (plate loaded),https://exrx.net/WeightExercises/TibialisAnterior/LV45ReverseCalfPress,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever 45° Reverse Calf Raise (plate loaded),https://exrx.net/WeightExercises/TibialisAnterior/LV45ReverseCalfRaise,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Reverse Calf Raise (plate loaded),https://exrx.net/WeightExercises/TibialisAnterior/LVReverseCalfRaisePL,Tibialis Anterior,None,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Reverse Calf Extension (plate loaded),https://exrx.net/WeightExercises/TibialisAnterior/LVSeatedReverseCalfExtHammer,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Reverse Calf Extension,https://exrx.net/WeightExercises/TibialisAnterior/LVReverseCalfExtension,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/LVReverseCalfRaise,Tibialis Anterior,None,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Sled 45° Reverse Calf Press,https://exrx.net/WeightExercises/TibialisAnterior/SL45ReverseCalfPress,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled 45° Reverse Calf Raise (plate loaded),https://exrx.net/WeightExercises/TibialisAnterior/SL45ReverseCalfRaisePL,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled 45° Reverse Calf Raise (on hack press),https://exrx.net/WeightExercises/TibialisAnterior/SL45ReverseCalfRaiseHackPress,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled Hack Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/SLHackReverseCalfRaise,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled Lying Reverse Calf Press,https://exrx.net/WeightExercises/TibialisAnterior/SLLyingReverseCalfPress,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled Seated Reverse Calf Press,https://exrx.net/WeightExercises/TibialisAnterior/SLSeatedReverseCalfPress,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Smith Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/SMReverseCalfRaise,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/BWReverseCalfRaise,Tibialis Anterior,None,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Leg Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/BWSingleLegRevCalfRaise,Tibialis Anterior,None,,Gluteus Medius; Gluteus Maximus; Quadratus        Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Barbell Push Crunch,https://exrx.net/WeightExercises/RectusAbdominis/BBPushCrunch,Rectus Abdominis,Obliques,,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Serratus Anterior; Triceps Brachii; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Cable Kneeling Crunch,https://exrx.net/WeightExercises/RectusAbdominis/CBKneelingCrunch,Rectus Abdominis,Obliques,,"Iliopsoas; Tensor Fasciae Latae; Rectus Femoris; Sartorius; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Rhomboids; Trapezius, Lower; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Coracobrachialis; Pectoralis Minor; Serratus Anterior",,,,,,,,,,,,,,,,,,,,,,,,
Cable Seated Crunch,https://exrx.net/WeightExercises/RectusAbdominis/CBSeatedCrunch,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Cable Standing Crunch (with isolateral straps),https://exrx.net/WeightExercises/RectusAbdominis/CBStandingCrunch,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Cable Standing Overhead Crunch,https://exrx.net/WeightExercises/RectusAbdominis/CBStandingOverheadCrunch,Rectus Abdominis,Obliques,,"Iliopsoas; Tensor Fasciae Latae; Rectus Femoris; Sartorius; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Rhomboids; Trapezius, Lower; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Coracobrachialis; Pectoralis Minor; Serratus Anterior",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Push Crunch,https://exrx.net/WeightExercises/RectusAbdominis/DBPushCrunch,Rectus Abdominis,Obliques,,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Serratus Anterior; Triceps Brachii; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Lever Lying Crunch (plate loaded),https://exrx.net/WeightExercises/RectusAbdominis/LVLyingCrunchPL,Rectus Abdominis,Obliques,,"Pectoralis Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Leg Raise Crunch (plate loaded),https://exrx.net/WeightExercises/RectusAbdominis/LVSeatedLegRaiseCrunchPL,Rectus Abdominis,Obliques,,"Tensor Fasciae        Latae; Rectus Femoris; Pectineus; Sartorius; Pectoralis        Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long        Head",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Crunch,https://exrx.net/WeightExercises/RectusAbdominis/LVSeatedCrunch,Rectus Abdominis,Obliques,,"Pectoralis        Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long        Head",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Crunch (arm bar),https://exrx.net/WeightExercises/RectusAbdominis/LVSeatedCrunchArmBar,Rectus Abdominis,Obliques,,"Pectoralis Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Crunch (arm pad),https://exrx.net/WeightExercises/RectusAbdominis/LVSeatedCrunchArmPad,Rectus Abdominis,Obliques,,"Pectoralis        Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long        Head",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Crunch (chest pad),https://exrx.net/WeightExercises/RectusAbdominis/LVSeatedCrunchChestPad,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled Leg Hip Raise (ab coaster),https://exrx.net/WeightExercises/RectusAbdominis/SLLegHipRaise,Rectus Abdominis,Iliopsoas; Tensor Fasciae        Latae; Sartorius; Rectus Femoris; Obliques,,"Pectoralis        Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long        Head",,,,,,,,,,,,,,,,,,,,,,,,
Weighted Crunch,https://exrx.net/WeightExercises/RectusAbdominis/WtCrunch,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Crunch (plate on chest),https://exrx.net/WeightExercises/RectusAbdominis/WtCrunchX,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Crunch (on stability ball),https://exrx.net/WeightExercises/RectusAbdominis/WtBallCrunch,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Incline Crunch,https://exrx.net/WeightExercises/RectusAbdominis/WtInclineCrunch,Rectus Abdominis,Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Incline Crunch (arms crossed),https://exrx.net/WeightExercises/RectusAbdominis/WtInclineCrunchX,Rectus Abdominis,Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Incline Sit-up,https://exrx.net/WeightExercises/RectusAbdominis/WtInclineSitUp,Rectus Abdominis,Iliopsoas; Tensor Fasciae          Latae; Rectus Femoris; Sartorius; Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Incline Sit-up (arms crossed),https://exrx.net/WeightExercises/RectusAbdominis/WtInclineSitUpX,Rectus Abdominis,Iliopsoas; Tensor Fasciae          Latae; Rectus Femoris; Sartorius; Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Sit-up,https://exrx.net/WeightExercises/RectusAbdominis/WtSitUp,Rectus Abdominis,Iliopsoas; Tensor Fasciae          Latae; Rectus Femoris; Sartorius; Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Sit-up (arms crossed),https://exrx.net/WeightExercises/RectusAbdominis/WtSitUpX,Rectus Abdominis,Iliopsoas; Tensor Fasciae        Latae; Rectus Femoris; Sartorius; Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Standing Twisting Crunch (with straps),https://exrx.net/WeightExercises/Obliques/CBStandingTwistingCrunch,Obliques,Rectus Abdominis; Psoas major,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Twisting Leg Raise Crunch (plate loaded),https://exrx.net/WeightExercises/Obliques/LVSeatedTwistingLegRaiseCrunch,Obliques,Rectus Abdominis,,"Tensor Fasciae Latae; Rectus Femoris; Pectineus; Sartorius; Pectoralis Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Weighted Incline Twisting Crunch (arms crossed),https://exrx.net/WeightExercises/Obliques/WtInclineTwistingCrunch,Obliques,Rectus Abdominis; Psoas Major,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Side Crunch,https://exrx.net/WeightExercises/Obliques/WtSideCrunch,Obliques,Rectus Abdominis,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Twisting Crunch,https://exrx.net/WeightExercises/Obliques/WtTwistingCrunch,Obliques,Rectus Abdominis; Psoas major,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Twisting Crunch (on stability ball),https://exrx.net/WeightExercises/Obliques/WtTwistingBallCrunch,Obliques,Rectus Abdominis,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Incline Twisting Sit-up,https://exrx.net/WeightExercises/Obliques/WtInclineTwistingSitUp,Obliques,Iliopsoas; Tensor Fasciae Latae; Rectus Femoris; Sartorius; Rectus Abdominis,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Incline Twisting Sit-up (arms crossed),https://exrx.net/WeightExercises/Obliques/WtInclineTwistingSitUpX,Obliques,Iliopsoas; Tensor Fasciae Latae; Rectus Femoris; Sartorius; Rectus Abdominis,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Twisting Sit-up,https://exrx.net/WeightExercises/Obliques/WtTwistingSitUp,Obliques,Iliopsoas; Tensor Fasciae Latae; Rectus Femoris; Sartorius; Rectus Abdominis,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Twisting Sit-up (arms crossed),https://exrx.net/WeightExercises/Obliques/WtTwistingSitUpX,Obliques,Iliopsoas; Tensor Fasciae Latae; Rectus Femoris; Sartorius; Rectus Abdominis,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Crunch,https://exrx.net/WeightExercises/RectusAbdominis/BWCrunch,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Crunch (arms crossed),https://exrx.net/WeightExercises/RectusAbdominis/BWCrunchX,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Crunch (arms down),https://exrx.net/WeightExercises/RectusAbdominis/BWCrunchAD,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Incline Crunch,https://exrx.net/WeightExercises/RectusAbdominis/BWInclineCrunch,Rectus Abdominis,Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Incline Crunch (arms down),https://exrx.net/WeightExercises/RectusAbdominis/BWInclineCrunchDown,Rectus Abdominis,Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Ball Crunch (on stability ball),https://exrx.net/WeightExercises/RectusAbdominis/BWBallCrunch,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
"Crunch (on stability ball, arms crossed)",https://exrx.net/WeightExercises/RectusAbdominis/BWBallCrunchX,Rectus Abdominis,Obliques,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Hanging Leg-Hip Raise (with ab straps),https://exrx.net/WeightExercises/RectusAbdominis/BWHangingLegHipRaiseAbStrap,Rectus Abdominis,Iliopsoas; Tensor Fasciae        Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis; Obliques,,,,,Rectus Femoris,,,,,,,,,,,,,,,,,,,,,
Incline Sit-up,https://exrx.net/WeightExercises/RectusAbdominis/BWInclineSitUp,Rectus Abdominis,Iliopsoas; Tensor Fasciae        Latae; Rectus Femoris; Sartorius; Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Incline Sit-up (arms crossed),https://exrx.net/WeightExercises/RectusAbdominis/BWInclineSitUpX,Rectus Abdominis,Iliopsoas; Tensor Fasciae          Latae; Rectus Femoris; Sartorius; Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Sit-up,https://exrx.net/WeightExercises/RectusAbdominis/BWSitUp,Rectus Abdominis,Iliopsoas; Tensor Fasciae        Latae; Rectus Femoris; Sartorius; Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Sit-up (arms crossed),https://exrx.net/WeightExercises/RectusAbdominis/BWSitUpX,Rectus Abdominis,Iliopsoas; Tensor Fasciae        Latae; Rectus Femoris; Sartorius; Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Sit-up (arms down),https://exrx.net/WeightExercises/RectusAbdominis/BWSitUpAD,Rectus Abdominis,Iliopsoas; Tensor Fasciae        Latae; Rectus Femoris; Sartorius; Obliques,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Suspended Jack-knife,https://exrx.net/WeightExercises/RectusAbdominis/STJackknife,Rectus Abdominis,Obliques; Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,"Rectus Abdominis; Pectoralis Major; Serratus Anterior; Deltoid, Anterior; Triceps Brachii; Coracobrachialis; Quadriceps","Erector Spinae; Trapezius, Middle; Trapezius, Lower; Rhomboids",,,,,,,,,,,,,,,,,,,,,,,
Suspended Pull Through,https://exrx.net/WeightExercises/RectusAbdominis/STPullThrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Front Plank,https://exrx.net/WeightExercises/RectusAbdominis/BWFrontPlank,,,,Obliques; Iliopsoas; Tensor Fasciae Latae; Quadriceps; Sartorius; Pectoralis Major; Coracobrachialis; Serratus Anterior; Pectoralis Minor,"Erector Spinae; Trapezius, Middle; Trapezius, Lower; Rhomboids",,,,,,,,,,,,,,,Rectus Abdominis,,,,,,,,
Abdominal Vacuum,https://exrx.net/WeightExercises/TransverseAbdominis/AbdominalVacuum,"Transverse        Abdominis  	

Compresses and supports abdominal viscera; Compresses and supports abdominal viscera",,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Side Bend,https://exrx.net/WeightExercises/Obliques/CBSideBend,Obliques,Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus",,,,,,,,,,,,,,,,,,,,,,,,
Cable Side Crunch,https://exrx.net/WeightExercises/Obliques/CBSideCrunch,Obliques,Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,,"Latissimus Dorsi; Teres Major; Pectoralis Major, Sternal; Pectoralis Minor; Rhomboids; Levator Scapulae; Trapezius, Lower; Triceps, Long Head; Brachialis; Brachioradialis; Biceps Brachii; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Cable Seated Twist,https://exrx.net/WeightExercises/Obliques/CBSeatedTwist,Obliques,Psoas major; Quadratus lumborum; Iliocastalis lumborum; Iliocastalis thoracis,,"Rectus Abdominis; Erector Spinae; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Deltoid, Anterior; Trapezius, Middle; Trapezius, Lower; Rhomboids; Deltoid, Lateral; Deltoid, Posterior; Triceps, Long Head; Coracobrachialis; Adductors, Hip (side of rotating direction)",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Side Bend,https://exrx.net/WeightExercises/Obliques/DBSideBend,Obliques,Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Side Leg Raise Crunch (plate loaded),https://exrx.net/WeightExercises/Obliques/LVSeatedSideLegRaiseCrunch,Obliques,Rectus Abdominis,,"Tensor Fasciae Latae; Rectus Femoris; Pectineus; Sartorius; Pectoralis Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Lever Kneeling Twist,https://exrx.net/WeightExercises/Obliques/LVKneelingTwist,Obliques,Psoas major; Quadratus lumborum; Iliocastalis lumborum; Iliocastalis thoracis,,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Deltoid, Anterior; Trapezius, Middle; Trapezius, Lower; Rhomboids; Deltoid, Posterior; Latissimus Dorsi; Triceps, Long Head; Gluteus Maximus",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Twist,https://exrx.net/WeightExercises/Obliques/LVTwist,Obliques,Psoas major; Quadratus lumborum; Iliocastalis lumborum; Iliocastalis thoracis,,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Deltoid, Anterior; Trapezius, Middle; Trapezius, Lower; Rhomboids; Deltoid, Posterior; Latissimus Dorsi; Triceps, Long Head; Coracobrachialis; Adductors, Hip (side of rotating direction)",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Twist,https://exrx.net/WeightExercises/Obliques/LVTwistLower,Obliques,Psoas major; Quadratus lumborum; Iliocastalis lumborum; Iliocastalis thoracis,,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Deltoid, Anterior; Trapezius, Middle; Trapezius, Lower; Rhomboids; Deltoid, Posterior; Latissimus Dorsi; Triceps, Long Head; Coracobrachialis; Adductors, Hip (opposite side of rotating direction)",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Twist (gripless),https://exrx.net/WeightExercises/Obliques/LVTwistGripless,Obliques,Psoas major; Quadratus lumborum; Iliocastalis lumborum; Iliocastalis thoracis,,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Deltoid, Anterior; Coracobrachialis; Adductors, Hip (side of rotating direction)",,,,,,,,,,,,,,,,,,,,,,,,
Sled Side Leg Hip Raise (ab coaster),https://exrx.net/WeightExercises/Obliques/SLSideHipRaiseAbCoaster,Obliques,Rectus Abdominis; Iliopsoas; Tensor Fasciae Latae; Sartorius; Rectus Femoris,,"Pectoralis Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell One Arm Straight Leg Deadlift,https://exrx.net/WeightExercises/ErectorSpinae/DBOneArmStraightLegDeadlift,Erector Spinae,Obliques; Quadratus lumborum; Hamstrings; Gluteus Maximus; Adductor Magnus,,"Trapezius, Middle; Rhomboids; Latissimus Dorsi; Coracobrachialis; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,
45° Side Bend (hands behind head),https://exrx.net/WeightExercises/Obliques/BW45SideBendHandsBehindHead,Obliques,Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,,Gluteus Medius; Gluteus Minimus,,,,,,,,,,,,,,,,,,,,,,,,
"Side Bend (on stability ball, hand behind head)",https://exrx.net/WeightExercises/Obliques/BWBallSideBend,Obliques,Quadratus        lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Hanging Twisting Leg Raise,https://exrx.net/WeightExercises/Obliques/BWHangingTwistingLegRaise,Obliques,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,,
Hanging Twisting Leg Hip Raise,https://exrx.net/WeightExercises/Obliques/BWHangingTwistingLegHipRaise,Obliques,Rectus Abdominis; Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,,,,,,,,,,,,,,,,,,,,,,,,,
Incline Twisting Sit-up,https://exrx.net/WeightExercises/Obliques/BWInclineTwistingSitUp,Obliques,Iliopsoas; Tensor Fasciae          Latae; Rectus Femoris; Sartorius; Rectus Abdominis,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Incline Twisting Sit-up (arms crossed),https://exrx.net/WeightExercises/Obliques/BWInclineTwistingSitUpX,Obliques,Iliopsoas; Tensor Fasciae        Latae; Rectus Femoris; Sartorius; Rectus Abdominis,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Twisting Sit-up,https://exrx.net/WeightExercises/Obliques/BWTwistingSitUp,Obliques,Iliopsoas; Tensor Fasciae        Latae; Rectus Femoris; Sartorius; Rectus Abdominis,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Twisting Sit-up (arms crossed),https://exrx.net/WeightExercises/Obliques/BWTwistingSitUpX,Obliques,Iliopsoas; Tensor Fasciae        Latae; Rectus Femoris; Sartorius; Rectus Abdominis,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Incline Twisting Crunch,https://exrx.net/WeightExercises/Obliques/BWInclineTwistingCrunch,Obliques,Rectus Abdominis; Psoas Major,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Incline Twisting Crunch (arms crossed),https://exrx.net/WeightExercises/Obliques/BWInclineTwistingCrunchX,Obliques,Rectus Abdominis; Psoas Major,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Side Crunch,https://exrx.net/WeightExercises/Obliques/BWSideCrunch,Obliques,Rectus Abdominis,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Twisting Crunch,https://exrx.net/WeightExercises/Obliques/BWTwistingCrunch,Obliques,Rectus Abdominis; Psoas Major,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisting Crunch (arms crossed),https://exrx.net/WeightExercises/Obliques/BWTwistingCrunchX,Obliques,Rectus Abdominis; Psoas Major,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisting Crunch (on stability ball),https://exrx.net/WeightExercises/Obliques/BWTwistingBallCrunch,Obliques,Rectus Abdominis,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Suspended Twisting Jack-knife,https://exrx.net/WeightExercises/Obliques/STTwistingJackknife,Obliques,Iliopsoas; Tensor Fasciae Latae; Sartorius; Pectineus; Adductor Longus; Adductor Brevis; Quadratus lumborum; Iliocastalis lumborum; Iliocastalis thoracis,Rectus Femoris,"Rectus Abdominis; Pectoralis Major; Serratus Anterior; Deltoid, Anterior; Triceps Brachii; Coracobrachialis; Quadriceps","Erector Spinae; Trapezius, Middle; Trapezius, Lower; Rhomboids",,,,,,,,,,,,,,,,,,,,,,,
Side Plank,https://exrx.net/WeightExercises/Obliques/BWSidePlank,Obliques,,,"Gluteus Medius; Gluteus Minimus; Tensor Fasciae Latae; Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis; Adductors, Hip; Pectineus; Gracilis; Gluteus Maximus, Lower Fibers; Latissimus dorsi; Pectoralis major; Pectoralis minor; Levator Scapulae",Obliques; Iliocastalis lumborum; Iliocastalis thoracis,,,,,,,,,,,,,,,,,,,,,,,
